Support Query,Top Category,Sub Category,Category Description
Why was I charged a fee for account maintenance?,Savings and Investments,Wire Transfers,the top category is Savings and Investments - the sub category is Wire Transfers
I want to update my email address linked to my account.,Account Management,Account Maintenance,the top category is Account Management - the sub category is Account Maintenance
What are the fees associated with wire transfers?,Account Management,Reporting Fraud,the top category is Account Management - the sub category is Reporting Fraud
Can you explain the ATM withdrawals fee on my account?,Customer Service,Mortgage Services,the top category is Customer Service - the sub category is Mortgage Services
Why was I charged a fee for wire transfers?,Transaction Services,Digital Banking Features,the top category is Transaction Services - the sub category is Digital Banking Features
"I noticed an unexpected wire transfers charge, what is this for?",Customer Service,Digital Banking Features,the top category is Customer Service - the sub category is Digital Banking Features
"I noticed an unexpected transaction charge, what is this for?",Fraud and Security,Rates and Terms,the top category is Fraud and Security - the sub category is Rates and Terms
Can you explain the account maintenance fee on my account?,Fees and Charges,Understanding Fees,the top category is Fees and Charges - the sub category is Understanding Fees
Why was I charged a fee for ATM withdrawals?,Customer Service,Portfolio Management,the top category is Customer Service - the sub category is Portfolio Management
How can I avoid online banking fees in the future?,Fraud and Security,Digital Banking Features,the top category is Fraud and Security - the sub category is Digital Banking Features
The ATM didn't dispense cash but my account was charged.,Transaction Services,Failed Transactions,the top category is Transaction Services - the sub category is Failed Transactions
What are the fees associated with account maintenance?,Loans and Mortgages,Identity Theft,the top category is Loans and Mortgages - the sub category is Identity Theft
How can I avoid wire transfers fees in the future?,Loans and Mortgages,Identity Theft,the top category is Loans and Mortgages - the sub category is Identity Theft
What are the fees associated with online banking?,Card Services,Security and Access,the top category is Card Services - the sub category is Security and Access
How do I update my new phone number in bank records?,Account Management,Account Maintenance,the top category is Account Management - the sub category is Account Maintenance
Can you explain the ATM withdrawals fee on my account?,Online and Mobile Banking,Digital Banking Features,the top category is Online and Mobile Banking - the sub category is Digital Banking Features
Why was I charged a fee for transaction?,Loans and Mortgages,Rates and Terms,the top category is Loans and Mortgages - the sub category is Rates and Terms
"I noticed an unexpected ATM withdrawals charge, what is this for?",Transaction Services,Account Opening,the top category is Transaction Services - the sub category is Account Opening
What are the fees associated with online banking?,Customer Service,Feedback and Suggestions,the top category is Customer Service - the sub category is Feedback and Suggestions
"I noticed an unexpected transaction charge, what is this for?",Fraud and Security,Loan Application,the top category is Fraud and Security - the sub category is Loan Application
How do I set up autopay for my bills?,Payments and Transfers,Bill Payments,the top category is Payments and Transfers - the sub category is Bill Payments
Can I get a refund for the double charge on my account?,Transaction Services,Failed Transactions,the top category is Transaction Services - the sub category is Failed Transactions
Why was I charged a fee for account maintenance?,Customer Service,Card Issuance,the top category is Customer Service - the sub category is Card Issuance
Can you accommodate a request for a language interpreter?,Customer Service,Special Requests,the top category is Customer Service - the sub category is Special Requests
What are the fees associated with ATM withdrawals?,Fees and Charges,Account Opening,the top category is Fees and Charges - the sub category is Account Opening
Are there any fees for using online banking?,Fees and Charges,Understanding Fees,the top category is Fees and Charges - the sub category is Understanding Fees
What are the fees associated with transaction?,Loans and Mortgages,Account Maintenance,the top category is Loans and Mortgages - the sub category is Account Maintenance
"I noticed an unexpected wire transfers charge, what is this for?",Savings and Investments,Loan Application,the top category is Savings and Investments - the sub category is Loan Application
What are the fees associated with transaction?,Online and Mobile Banking,Rates and Terms,the top category is Online and Mobile Banking - the sub category is Rates and Terms
How can I avoid wire transfers fees in the future?,Card Services,Security Measures,the top category is Card Services - the sub category is Security Measures
What types of savings accounts do you offer?,Savings and Investments,Account Types,the top category is Savings and Investments - the sub category is Account Types
How can I avoid ATM withdrawals fees in the future?,Customer Service,Feedback and Suggestions,the top category is Customer Service - the sub category is Feedback and Suggestions
"I noticed an unexpected wire transfers charge, what is this for?",Savings and Investments,Fee Waivers,the top category is Savings and Investments - the sub category is Fee Waivers
"I noticed an unexpected wire transfers charge, what is this for?",Payments and Transfers,Wire Transfers,the top category is Payments and Transfers - the sub category is Wire Transfers
Can you explain the account maintenance fee on my account?,Savings and Investments,Transaction Inquiry,the top category is Savings and Investments - the sub category is Transaction Inquiry
"I noticed an unexpected account maintenance charge, what is this for?",Customer Service,Special Requests,the top category is Customer Service - the sub category is Special Requests
"I noticed an unexpected online banking charge, what is this for?",Fraud and Security,Transaction Inquiry,the top category is Fraud and Security - the sub category is Transaction Inquiry
Can you explain the ATM withdrawals fee on my account?,Card Services,Loan Application,the top category is Card Services - the sub category is Loan Application
"I noticed an unexpected ATM withdrawals charge, what is this for?",Savings and Investments,Technical Support,the top category is Savings and Investments - the sub category is Technical Support
How can I avoid wire transfers fees in the future?,Transaction Services,Loan Application,the top category is Transaction Services - the sub category is Loan Application
Why was I charged a fee for ATM withdrawals?,Fees and Charges,Dispute Charges,the top category is Fees and Charges - the sub category is Dispute Charges
Can you explain the account maintenance fee on my account?,Account Management,Wire Transfers,the top category is Account Management - the sub category is Wire Transfers
What are the fees associated with account maintenance?,Loans and Mortgages,Payment Disputes,the top category is Loans and Mortgages - the sub category is Payment Disputes
Why was I charged a fee for account maintenance?,Account Management,Security and Access,the top category is Account Management - the sub category is Security and Access
How can I avoid ATM withdrawals fees in the future?,Account Management,Fee Waivers,the top category is Account Management - the sub category is Fee Waivers
What are the fees associated with wire transfers?,Savings and Investments,Bill Payments,the top category is Savings and Investments - the sub category is Bill Payments
How can I avoid online banking fees in the future?,Savings and Investments,Reporting Fraud,the top category is Savings and Investments - the sub category is Reporting Fraud
What are the steps to activate my new card?,Card Services,Card Activation/Deactivation,the top category is Card Services - the sub category is Card Activation/Deactivation
"I noticed an unexpected ATM withdrawals charge, what is this for?",Online and Mobile Banking,Technical Support,the top category is Online and Mobile Banking - the sub category is Technical Support
How can I avoid wire transfers fees in the future?,Payments and Transfers,Digital Banking Features,the top category is Payments and Transfers - the sub category is Digital Banking Features
Can you explain the wire transfers fee on my account?,Loans and Mortgages,Account Maintenance,the top category is Loans and Mortgages - the sub category is Account Maintenance
Why was I charged a fee for transaction?,Fraud and Security,Security and Access,the top category is Fraud and Security - the sub category is Security and Access
Can you explain the wire transfers fee on my account?,Online and Mobile Banking,Bill Payments,the top category is Online and Mobile Banking - the sub category is Bill Payments
What documents do I need to provide for a joint account?,Account Management,Account Opening,the top category is Account Management - the sub category is Account Opening
How can I avoid wire transfers fees in the future?,Payments and Transfers,Feedback and Suggestions,the top category is Payments and Transfers - the sub category is Feedback and Suggestions
What are the fees associated with ATM withdrawals?,Customer Service,Complaint Handling,the top category is Customer Service - the sub category is Complaint Handling
I forgot my online banking password. How do I reset it?,Online and Mobile Banking,Security and Access,the top category is Online and Mobile Banking - the sub category is Security and Access
Why was I charged a fee for online banking?,Card Services,Rates and Terms,the top category is Card Services - the sub category is Rates and Terms
Why was I charged a fee for transaction?,Savings and Investments,Reporting Fraud,the top category is Savings and Investments - the sub category is Reporting Fraud
How can I avoid wire transfers fees in the future?,Transaction Services,Fee Waivers,the top category is Transaction Services - the sub category is Fee Waivers
How to block my credit card immediately?,Card Services,Lost/Stolen Cards,the top category is Card Services - the sub category is Lost/Stolen Cards
I can’t log into my mobile banking app.,Online and Mobile Banking,Technical Support,the top category is Online and Mobile Banking - the sub category is Technical Support
How can I avoid ATM withdrawals fees in the future?,Fraud and Security,Rates and Terms,the top category is Fraud and Security - the sub category is Rates and Terms
Can I get assistance in restoring my account after identity theft?,Fraud and Security,Identity Theft,the top category is Fraud and Security - the sub category is Identity Theft
"I noticed an unexpected account maintenance charge, what is this for?",Transaction Services,Wire Transfers,the top category is Transaction Services - the sub category is Wire Transfers
Are there any security advisories for customers?,Fraud and Security,Security Measures,the top category is Fraud and Security - the sub category is Security Measures
How can I avoid account maintenance fees in the future?,Savings and Investments,Dispute Charges,the top category is Savings and Investments - the sub category is Dispute Charges
"I noticed an unexpected online banking charge, what is this for?",Loans and Mortgages,Transaction Disputes,the top category is Loans and Mortgages - the sub category is Transaction Disputes
How do I dispute a transaction fee I believe is incorrect?,Fees and Charges,Dispute Charges,the top category is Fees and Charges - the sub category is Dispute Charges
Why was I charged a fee for online banking?,Transaction Services,Account Opening,the top category is Transaction Services - the sub category is Account Opening
What are the fees associated with wire transfers?,Transaction Services,Bill Payments,the top category is Transaction Services - the sub category is Bill Payments
How long does the loan approval process usually take?,Loans and Mortgages,Loan Application,the top category is Loans and Mortgages - the sub category is Loan Application
"I noticed an unexpected account maintenance charge, what is this for?",Savings and Investments,Security and Access,the top category is Savings and Investments - the sub category is Security and Access
What are the fees associated with account maintenance?,Transaction Services,Special Requests,the top category is Transaction Services - the sub category is Special Requests
How can I avoid ATM withdrawals fees in the future?,Customer Service,Transaction Inquiry,the top category is Customer Service - the sub category is Transaction Inquiry
"I noticed an unexpected account maintenance charge, what is this for?",Transaction Services,Payment Disputes,the top category is Transaction Services - the sub category is Payment Disputes
What are the fees associated with account maintenance?,Card Services,Account Information,the top category is Card Services - the sub category is Account Information
"I noticed an unexpected account maintenance charge, what is this for?",Card Services,Transaction Disputes,the top category is Card Services - the sub category is Transaction Disputes
What are the fees associated with wire transfers?,Loans and Mortgages,Transaction Inquiry,the top category is Loans and Mortgages - the sub category is Transaction Inquiry
"I noticed an unexpected transaction charge, what is this for?",Loans and Mortgages,Bill Payments,the top category is Loans and Mortgages - the sub category is Bill Payments
"I noticed an unexpected ATM withdrawals charge, what is this for?",Account Management,Special Requests,the top category is Account Management - the sub category is Special Requests
What are the fees associated with transaction?,Customer Service,Security Measures,the top category is Customer Service - the sub category is Security Measures
"I noticed an unexpected transaction charge, what is this for?",Online and Mobile Banking,Loan Repayment,the top category is Online and Mobile Banking - the sub category is Loan Repayment
Can you explain the ATM withdrawals fee on my account?,Fees and Charges,Bill Payments,the top category is Fees and Charges - the sub category is Bill Payments
How can I avoid online banking fees in the future?,Savings and Investments,Account Types,the top category is Savings and Investments - the sub category is Account Types
How can I avoid ATM withdrawals fees in the future?,Card Services,Transaction Inquiry,the top category is Card Services - the sub category is Transaction Inquiry
"I noticed an unexpected ATM withdrawals charge, what is this for?",Payments and Transfers,Account Opening,the top category is Payments and Transfers - the sub category is Account Opening
"I noticed an unexpected ATM withdrawals charge, what is this for?",Account Management,Account Types,the top category is Account Management - the sub category is Account Types
"I noticed an unexpected wire transfers charge, what is this for?",Account Management,Feedback and Suggestions,the top category is Account Management - the sub category is Feedback and Suggestions
Why was I charged a fee for transaction?,Savings and Investments,Security Measures,the top category is Savings and Investments - the sub category is Security Measures
"I noticed an unexpected account maintenance charge, what is this for?",Card Services,Payment Disputes,the top category is Card Services - the sub category is Payment Disputes
What are the fees associated with transaction?,Customer Service,Security and Access,the top category is Customer Service - the sub category is Security and Access
Why was I charged a fee for online banking?,Online and Mobile Banking,Failed Transactions,the top category is Online and Mobile Banking - the sub category is Failed Transactions
"I noticed an unexpected wire transfers charge, what is this for?",Payments and Transfers,Transaction Disputes,the top category is Payments and Transfers - the sub category is Transaction Disputes
Why was I charged a fee for wire transfers?,Customer Service,Transaction Disputes,the top category is Customer Service - the sub category is Transaction Disputes
How can I avoid account maintenance fees in the future?,Loans and Mortgages,Payment Disputes,the top category is Loans and Mortgages - the sub category is Payment Disputes
Why was I charged a fee for transaction?,Transaction Services,Special Requests,the top category is Transaction Services - the sub category is Special Requests
How can I avoid online banking fees in the future?,Online and Mobile Banking,Loan Application,the top category is Online and Mobile Banking - the sub category is Loan Application
What are the fees associated with account maintenance?,Payments and Transfers,Account Types,the top category is Payments and Transfers - the sub category is Account Types
How can I avoid account maintenance fees in the future?,Account Management,Security and Access,the top category is Account Management - the sub category is Security and Access
Why was I charged a fee for account maintenance?,Transaction Services,Identity Theft,the top category is Transaction Services - the sub category is Identity Theft
What are the fees associated with account maintenance?,Account Management,Digital Banking Features,the top category is Account Management - the sub category is Digital Banking Features
What are the fees associated with online banking?,Online and Mobile Banking,Payment Disputes,the top category is Online and Mobile Banking - the sub category is Payment Disputes
How can I avoid online banking fees in the future?,Payments and Transfers,Portfolio Management,the top category is Payments and Transfers - the sub category is Portfolio Management
Can you explain the transaction fee on my account?,Transaction Services,Complaint Handling,the top category is Transaction Services - the sub category is Complaint Handling
Can you explain the ATM withdrawals fee on my account?,Fees and Charges,Digital Banking Features,the top category is Fees and Charges - the sub category is Digital Banking Features
"I noticed an unexpected transaction charge, what is this for?",Online and Mobile Banking,Portfolio Management,the top category is Online and Mobile Banking - the sub category is Portfolio Management
How can I suggest improvements for your mobile app?,Customer Service,Feedback and Suggestions,the top category is Customer Service - the sub category is Feedback and Suggestions
Can you explain the account maintenance fee on my account?,Loans and Mortgages,Loan Repayment,the top category is Loans and Mortgages - the sub category is Loan Repayment
How do I open a new savings account?,Account Management,Account Opening,the top category is Account Management - the sub category is Account Opening
How can I avoid online banking fees in the future?,Fees and Charges,Fee Waivers,the top category is Fees and Charges - the sub category is Fee Waivers
How can I avoid online banking fees in the future?,Transaction Services,Loan Repayment,the top category is Transaction Services - the sub category is Loan Repayment
How do I download and install the bank's mobile app?,Online and Mobile Banking,Technical Support,the top category is Online and Mobile Banking - the sub category is Technical Support
"I noticed an unexpected transaction charge, what is this for?",Savings and Investments,Security Measures,the top category is Savings and Investments - the sub category is Security Measures
"I noticed an unexpected transaction charge, what is this for?",Customer Service,Dispute Charges,the top category is Customer Service - the sub category is Dispute Charges
Can I cancel a pending transfer?,Payments and Transfers,Wire Transfers,the top category is Payments and Transfers - the sub category is Wire Transfers
How can I avoid wire transfers fees in the future?,Transaction Services,Digital Banking Features,the top category is Transaction Services - the sub category is Digital Banking Features
Why was I charged a fee for account maintenance?,Loans and Mortgages,Loan Application,the top category is Loans and Mortgages - the sub category is Loan Application
What are the fees associated with online banking?,Savings and Investments,Technical Support,the top category is Savings and Investments - the sub category is Technical Support
Can you explain the wire transfers fee on my account?,Savings and Investments,Transaction Inquiry,the top category is Savings and Investments - the sub category is Transaction Inquiry
Can you explain the online banking fee on my account?,Payments and Transfers,Transaction Disputes,the top category is Payments and Transfers - the sub category is Transaction Disputes
How can I avoid online banking fees in the future?,Account Management,Portfolio Management,the top category is Account Management - the sub category is Portfolio Management
Can you explain the online banking fee on my account?,Online and Mobile Banking,Loan Repayment,the top category is Online and Mobile Banking - the sub category is Loan Repayment
Can you explain the online banking fee on my account?,Card Services,Special Requests,the top category is Card Services - the sub category is Special Requests
How do I report a lost or stolen credit card?,Fraud and Security,Reporting Fraud,the top category is Fraud and Security - the sub category is Reporting Fraud
Why was I charged a fee for account maintenance?,Transaction Services,Security Measures,the top category is Transaction Services - the sub category is Security Measures
Why was I charged a fee for account maintenance?,Account Management,Bill Payments,the top category is Account Management - the sub category is Bill Payments
Can you explain the wire transfers fee on my account?,Customer Service,Wire Transfers,the top category is Customer Service - the sub category is Wire Transfers
How do I initiate an international wire transfer?,Payments and Transfers,Wire Transfers,the top category is Payments and Transfers - the sub category is Wire Transfers
What are the fees associated with ATM withdrawals?,Fraud and Security,Card Activation/Deactivation,the top category is Fraud and Security - the sub category is Card Activation/Deactivation
Can you explain the ATM withdrawals fee on my account?,Payments and Transfers,Mortgage Services,the top category is Payments and Transfers - the sub category is Mortgage Services
"I noticed an unexpected ATM withdrawals charge, what is this for?",Savings and Investments,Complaint Handling,the top category is Savings and Investments - the sub category is Complaint Handling
Can you explain the account maintenance fee on my account?,Payments and Transfers,Wire Transfers,the top category is Payments and Transfers - the sub category is Wire Transfers
What are the current interest rates for home loans?,Loans and Mortgages,Loan Application,the top category is Loans and Mortgages - the sub category is Loan Application
What are the fees associated with ATM withdrawals?,Fees and Charges,Digital Banking Features,the top category is Fees and Charges - the sub category is Digital Banking Features
Can you explain the transaction fee on my account?,Transaction Services,Failed Transactions,the top category is Transaction Services - the sub category is Failed Transactions
"I noticed an unexpected wire transfers charge, what is this for?",Loans and Mortgages,Complaint Handling,the top category is Loans and Mortgages - the sub category is Complaint Handling
How can I avoid transaction fees in the future?,Account Management,Identity Theft,the top category is Account Management - the sub category is Identity Theft
"I noticed an unexpected online banking charge, what is this for?",Online and Mobile Banking,Account Information,the top category is Online and Mobile Banking - the sub category is Account Information
"I noticed an unexpected transaction charge, what is this for?",Online and Mobile Banking,Portfolio Management,the top category is Online and Mobile Banking - the sub category is Portfolio Management
How can I get a history of all my transactions for the past year?,Transaction Services,Transaction Inquiry,the top category is Transaction Services - the sub category is Transaction Inquiry
What are the fees associated with wire transfers?,Fraud and Security,Transaction Disputes,the top category is Fraud and Security - the sub category is Transaction Disputes
"I noticed an unexpected ATM withdrawals charge, what is this for?",Fraud and Security,Card Issuance,the top category is Fraud and Security - the sub category is Card Issuance
How can I avoid online banking fees in the future?,Transaction Services,Failed Transactions,the top category is Transaction Services - the sub category is Failed Transactions
What should I do if I receive a suspicious email claiming to be from the bank?,Fraud and Security,Reporting Fraud,the top category is Fraud and Security - the sub category is Reporting Fraud
What is the process for escalating a service issue?,Customer Service,Complaint Handling,the top category is Customer Service - the sub category is Complaint Handling
What documentation is required for refinancing my mortgage?,Loans and Mortgages,Mortgage Services,the top category is Loans and Mortgages - the sub category is Mortgage Services
"I noticed an unexpected wire transfers charge, what is this for?",Fraud and Security,Account Maintenance,the top category is Fraud and Security - the sub category is Account Maintenance
What are the fees associated with wire transfers?,Savings and Investments,Account Opening,the top category is Savings and Investments - the sub category is Account Opening
Can you explain the transaction fee on my account?,Fees and Charges,Reporting Fraud,the top category is Fees and Charges - the sub category is Reporting Fraud
How can I avoid ATM withdrawals fees in the future?,Online and Mobile Banking,Bill Payments,the top category is Online and Mobile Banking - the sub category is Bill Payments
Can you explain the account maintenance fee on my account?,Savings and Investments,Reporting Fraud,the top category is Savings and Investments - the sub category is Reporting Fraud
How can I avoid account maintenance fees in the future?,Fraud and Security,Account Information,the top category is Fraud and Security - the sub category is Account Information
How can I request a fee reduction for my account?,Fees and Charges,Fee Waivers,the top category is Fees and Charges - the sub category is Fee Waivers
Why was I charged a fee for online banking?,Loans and Mortgages,Feedback and Suggestions,the top category is Loans and Mortgages - the sub category is Feedback and Suggestions
How can I avoid wire transfers fees in the future?,Customer Service,Loan Application,the top category is Customer Service - the sub category is Loan Application
Can you explain the wire transfers fee on my account?,Online and Mobile Banking,Rates and Terms,the top category is Online and Mobile Banking - the sub category is Rates and Terms
Can you explain the transaction fee on my account?,Fees and Charges,Bill Payments,the top category is Fees and Charges - the sub category is Bill Payments
What are the fees associated with ATM withdrawals?,Card Services,Feedback and Suggestions,the top category is Card Services - the sub category is Feedback and Suggestions
Can you explain the account maintenance fee on my account?,Account Management,Dispute Charges,the top category is Account Management - the sub category is Dispute Charges
How can I change my investment plan?,Savings and Investments,Portfolio Management,the top category is Savings and Investments - the sub category is Portfolio Management
How can I avoid wire transfers fees in the future?,Fraud and Security,Account Opening,the top category is Fraud and Security - the sub category is Account Opening
Why was I charged a fee for account maintenance?,Fraud and Security,Identity Theft,the top category is Fraud and Security - the sub category is Identity Theft
Can you explain the transaction fee on my account?,Card Services,Loan Application,the top category is Card Services - the sub category is Loan Application
